tt0000002	6.3	184
tt0000003	6.6	1159
tt0000004	6.3	113
tt0000005	6.2	1863
tt0000006	5.4	100
tt0000007	5.5	605
tt0000008	5.6	1613
tt0000009	5.5	80
tt0000010	6.9	5386
tt0000011	5.4	228
tt0000012	7.4	9115
tt0000013	5.8	1405
tt0000014	7.2	3975
tt0000015	6.2	718
tt0000016	5.9	1043
tt0000017	4.8	208
tt0000018	5.5	433
tt0000019	6.6	13
tt0000020	5.1	238
tt0000022	5.2	784
tt0000023	5.7	996
tt0000024	5.5	22
tt0000025	4.6	21
tt0000026	5.7	1197
tt0000027	5.6	820
tt0000028	5.2	751
tt0000029	5.9	2568
tt0000030	5.3	628
tt0000031	5.6	729
tt0000032	5.2	304
tt0000033	5.6	766
tt0000034	5.5	108
tt0000035	5.8	50
tt0000036	4.5	437
tt0000037	4.7	37
tt0000038	4.3	129
tt0000039	4.2	13
tt0000040	4.2	33
tt0000041	6.7	1269
tt0000042	4.7	18
tt0000043	4.3	10
tt0000044	4.7	24
tt0000045	4.7	15
tt0000046	4.5	15
tt0000047	3.8	13
tt0000048	5.1	103
tt0000049	5.4	21
tt0000050	4.5	13
tt0000051	4.2	11
tt0000052	4.7	46
tt0000053	3.0	7
tt0000054	5.5	16
tt0000055	4.2	13
tt0000056	3.7	9
tt0000057	4.7	12
tt0000058	4.4	13
tt0000059	4.0	10
tt0000060	7.8	59
tt0000061	4.2	12
tt0000062	6.4	144
tt0000063	4.0	9
tt0000064	3.8	10
tt0000065	4.0	10
tt0000066	4.1	10
tt0000067	5.8	39
tt0000068	4.3	10
tt0000069	4.9	302
tt0000070	6.4	2020
tt0000071	3.9	13
tt0000072	4.5	12
tt0000073	4.3	10
tt0000074	4.4	14
tt0000075	6.4	1339
tt0000076	4.5	385
tt0000077	5.0	16
tt0000078	4.3	43
tt0000079	4.6	16
tt0000080	4.3	12
tt0000081	4.4	13
tt0000082	5.2	20
tt0000083	5.0	15
tt0000084	4.3	13
tt0000085	5.0	15
tt0000086	4.4	13
tt0000087	5.0	16
tt0000088	5.0	13
tt0000089	6.3	738
tt0000090	4.2	12
tt0000091	6.7	2370
tt0000092	5.0	10
tt0000093	5.1	60
tt0000094	4.5	12
tt0000095	5.1	17
tt0000096	4.9	10
tt0000097	5.2	16
tt0000098	5.5	18
tt0000099	5.0	13
